No_CMN,Nom_CMN,PCA1,PCA2,PCA3,PCA4,clust_ward,id
"5705",Bogis-Bossey,6.06123771250886,3.83777577949313,-2.76523832782905,-0.59698903362201,"1","0"
"5732",Vich,5.77813141493222,3.53633919901731,0.574175310981254,-2.53337840205652,"1","1"
"5731",Le Vaud,0.801925987094465,2.76978685282041,-2.36915121012795,-1.72371062492075,"1","2"
"5728",Signy-Avenex,3.86381573508278,2.8703089053881,-0.644433747995968,0.363094925148059,"1","3"
"5727",Saint-Cergue,0.653073205816177,-1.73321077082156,-5.64592088814693,-5.16294840122149,"2","4"
"5730",Trélex,3.28999972989928,3.18154639241904,-2.8056168520453,-0.185016032928881,"1","5"
"5729",Tannay,8.5192802762918,3.55874418179962,-3.92252563279809,1.34025113670126,"3","6"
"5724",Nyon,10.08704415556,-2.79228740102788,1.97506394629243,-0.310431003948186,"4","7"
"5723",Mies,9.6549357418821,3.35260265862577,-5.95341256951856,0.150699764151118,"3","8"
"5726",La Rippe,1.56815441430919,1.501927518237,-4.77721175442927,-4.30859442506916,"2","9"
"5725",Prangins,5.39259605861706,2.19080677661935,-1.21397076220941,0.80930142897325,"1","10"
"5720",Givrins,2.79590862336224,3.17776923048825,-3.29294236664689,-0.028372203268298,"1","11"
"5719",Gingins,1.97679727034459,0.60978668903876,-6.42473031919218,-1.34042049431406,"2","12"
"5722",Grens,1.44691646490514,3.77182893272037,-1.00086404103328,0.655425078908025,"1","13"
"5721",Gland,6.4344087285585,-0.777320651589432,2.3666372607704,-2.54033563078644,"4","14"
"5860",Perroy,4.42020310444463,2.04436826094189,0.480374450441038,-0.384082690248127,"1","15"
"5859",Mont-sur-Rolle,3.7795051208919,2.09668595674407,-0.90185837016839,-0.24337243387089,"1","16"
"5862",Tartegnin,-1.83679311364495,1.06911538135081,-0.371113807302778,2.11314714948087,"5","17"
"5861",Rolle,10.8261774063361,-1.72085297557451,1.24480557700091,1.17125811159776,"4","18"
"5856",Essertines-sur-Rolle,1.63205468614632,4.77098075626164,-2.22410541058041,-2.33838902456647,"1","19"
"5855",Dully,6.09458652622456,5.73999087718242,-3.55045179373858,-0.287145897807456,"1","20"
"5858",Luins,1.09152474589628,1.75261258634136,1.87191603219919,-3.11953618806036,"6","21"
"5857",Gilly,2.55714822412766,3.19566497057366,-1.26491241448443,-2.8555856039879,"1","22"
"5852",Bursinel,2.43351994219823,3.83123307456378,-1.67062772680448,1.16099119393413,"1","23"
"5854",Burtigny,-1.95250450812439,0.463215962221492,-1.3903040382371,-0.828192862874877,"2","24"
"5853",Bursins,0.769824117661366,1.91056332906009,-0.761134935142921,-0.037684748070887,"1","25"
"5863",Vinzel,2.8007679925173,2.98864610597111,-1.00556192042183,-1.2944369812412,"1","26"
"5430",Marchissy,-2.18506740558127,-0.218711669544401,-3.16675934363591,-3.19855865346386,"2","27"
"5429",Longirod,-2.56810105185975,0.042237152178651,-3.00791843744332,-0.745060051664289,"2","28"
"5434",Saint-George,-0.562415796016214,-0.746534525970215,-4.39417988206007,-2.36964721193238,"2","29"
"5702",Arzier-Le Muids,1.47800346110316,-0.228255476439384,-6.99802742686134,-5.84059680725808,"2","30"
"5701",Arnex-sur-Nyon,1.84327511257716,5.62061421147086,-0.703308102661696,-2.05381485188894,"1","31"
"5716",Eysins,5.92989596201203,3.73047831282246,0.827247260456987,-2.26813599109185,"1","32"
"5715",Duillier,1.61512232073843,3.60642752747246,0.313340030666092,-0.418851651681223,"1","33"
"5718",Genolier,4.93296012118917,3.43608414661182,-3.92872515201291,0.212647189873391,"3","34"
"5717",Founex,9.0228463474856,4.02419865864782,-3.63846671953393,-0.699863647056897,"3","35"
"5712",Coppet,10.3480708829026,2.94398546005353,-3.11273818954728,2.56954736422454,"3","36"
"5711",Commugny,7.68885518931283,3.58581066633143,-4.604513185484,0.366128797137636,"3","37"
"5714",Crassier,4.75335822237247,4.28842372799179,-0.871923668483461,-0.919225739464577,"1","38"
"5713",Crans (VD),6.33929292841812,3.72090919363987,-4.09467052024383,1.18565670357028,"3","39"
"5708",Chavannes-des-Bois,6.93461262589151,5.93545682826088,-2.50296964019818,-3.00788293131263,"1","40"
"5707",Chavannes-de-Bogis,6.91438427774787,3.02572526841293,-1.77831993054874,-1.19712458808865,"1","41"
"5710",Coinsins,2.85796095622725,3.38022277191447,-0.781240407789681,0.478704398075652,"1","42"
"5709",Chéserex,1.90541959238793,1.60441649696743,-3.90306781127783,-1.87226093570626,"1","43"
"5704",Begnins,2.70786692888872,2.05609467778664,-1.01544887849819,-0.829917078268985,"1","44"
"5703",Bassins,0.262163127763023,1.73286658902132,-3.75428763194421,-3.94278867050081,"2","45"
"5706",Borex,3.24611065034769,4.99736393759944,-1.53194362283576,-0.313388258231747,"1","46"
"5748",Bretonnières,-3.69971070275515,0.618165738846471,0.379529013369977,0.585790775879754,"5","47"
"5747",Bofflens,-6.97705746959954,0.109856853172055,4.64025061714488,-0.318664404284303,"5","48"
"5750",Les Clées,-3.87941672667173,0.224737686848853,-2.27922255271786,1.59681076884854,"2","49"
"5749",Chavornay,0.670860292934984,-1.23206588540102,3.51082693040437,-1.78295408834933,"7","50"
"5744",Ballaigues,-4.05680297263377,-4.71831710637508,-1.27588283385534,0.663937979399594,"8","51"
"5743",Arnex-sur-Orbe,-3.50963277501177,-0.392410543332218,2.15874422551609,1.53730827142005,"5","52"
"5746",Bavois,-1.54240978189509,1.18578697210591,3.86880860645336,-1.70196839265405,"6","53"
"5745",Baulmes,-3.22619035155324,-3.47692141807599,-0.857759444407294,-0.220239803276053,"8","54"
"5742",Agiez,-3.20197873795314,0.83944236790043,1.61218507493015,-1.44500461098183,"6","55"
"5741",L'Abergement,-5.57888023950396,-1.02335153936528,-0.54489266537106,1.40105985383397,"5","56"
"5764",Vallorbe,-0.846280945664201,-6.89182249999629,-0.906708672084487,-2.00237910318145,"8","57"
"5763",Valeyres-sous-Rances,-2.55673773444151,1.41121937633495,2.26989613030864,0.332293826701694,"6","58"
"5766",Vuiteboeuf,-0.674232214220746,-1.54304234530124,2.66691317506707,-2.54567529829305,"7","59"
"5765",Vaulion,-6.02943656505214,-3.20180193368208,-0.285973311983937,-0.568725258091687,"5","60"
"5760",Rances,-3.72136824554826,-0.544651815723785,0.706662612574967,1.88840904617418,"5","61"
"5759",Premier,-6.76000418127328,-1.735684771883,-1.3894570905765,3.38840688528889,"5","62"
"5762",Sergey,-4.79053277133669,1.84872478387584,2.53413844229478,1.54470843298726,"5","63"
"5761",Romainmôtier-Envy,-2.40043217821298,-1.24637733533266,-0.792286111322108,0.302226096404281,"2","64"
"5756",Montcherand,-3.41189562660601,1.60794967084838,1.96845333119023,-0.154229719468351,"6","65"
"5755",Lignerolle,-4.76090347562077,-1.79048144426257,-0.962810055666622,-2.0170595442101,"2","66"
"5758",La Praz,-7.12490706844134,-1.39022235545286,0.409305263300058,0.287952338284751,"5","67"
"5757",Orbe,2.2051309984322,-3.79734508290084,3.6725209305338,-0.443816171777766,"7","68"
"5752",Croy,-3.12275806010138,-3.92511754784559,-0.292901127586848,4.77429264793572,"5","69"
"5754",Juriens,-5.50672911395918,-1.17836919815017,-1.64734278959327,0.692224475899567,"5","70"
"5908",Chêne-Pâquier,-2.9422984436558,1.2459098262181,0.868731022919182,0.782218661185102,"5","71"
"5907",Chavannes-le-Chêne,-4.44108583251656,0.516792697191665,1.5834881447437,2.03997189194021,"5","72"
"5910",Cronay,-4.3777685609008,0.664989904951713,1.54349139005835,1.36450255998728,"5","73"
"5909",Cheseaux-Noréaz,-0.671896382897858,1.28644246113932,-2.49494087207991,3.03529107928751,"1","74"
"5904",Chamblon,0.786406376733477,-0.351656531769695,3.36382698577516,1.46344112755014,"7","75"
"5903",Bioley-Magnoux,-6.53310385330832,0.509601302267347,-0.905911242026573,5.36722958624598,"5","76"
"5905",Champvent,-3.21302041907748,0.271346799059684,2.0869665830937,0.295474244440726,"5","77"
"5902",Belmont-sur-Yverdon,-2.60091319372339,1.10039188723117,3.24010333435808,-0.543664934407484,"6","78"
"5924",Orges,-2.94872280727406,3.36850424274655,2.86121872675888,-0.72044415269765,"6","79"
"5926",Pomy,-2.53160543534852,2.71167102322616,2.24660632662975,0.154922491822961,"6","80"
"5925",Orzens,-4.90736444171826,-0.352336915679635,0.876779729604013,5.12629628762551,"5","81"
"5919",Mathod,-2.77782684998389,1.82912935301375,3.27215689729239,0.028387542598808,"6","82"
"5922",Montagny-près-Yverdon,-0.156802731209368,0.264168894421421,3.46959884552354,1.99796963892945,"7","83"
"5921",Molondin,-4.76213376336631,-1.51534402258401,0.374879483300973,2.0377452858154,"5","84"
"5912",Démoret,-5.06020326557156,1.59908475167422,1.51586256959914,-0.10745115426149,"5","85"
"5911",Cuarny,-5.07360496979491,2.14549108461096,2.26133777582091,1.3028964153629,"5","86"
"5914",Ependes (VD),-2.19101057581909,0.189879969075929,4.2839930986286,-0.043310385160058,"6","87"
"5913",Donneloye,-3.48948988050602,0.596407309715133,1.70862044111051,0.300994570441141,"5","88"
"5939",Yvonand,-1.30355291562372,-1.89269463595349,1.80975995860687,0.54354994670101,"7","89"
"5935",Villars-Epeney,-0.319453377256012,2.41585583182716,1.96865442011562,-0.258416841665897,"6","90"
"5938",Yverdon-les-Bains,6.65780367737295,-8.66461549325527,4.8138008586747,0.920427497729483,"4","91"
"5937",Vugelles-La Mothe,-4.46898531687344,0.201469120215617,0.617630438961154,-0.589414663815639,"5","92"
"5932",Ursins,-4.03479129387489,-0.607094904075642,0.978212180436838,3.7001127407271,"5","93"
"5931",Treycovagnes,-0.531555182690609,1.13213039147803,3.77991577749374,1.15774211036326,"7","94"
"5934",Valeyres-sous-Ursins,-3.91017570374739,0.333858301467173,0.912463376451732,4.39507747751599,"5","95"
"5933",Valeyres-sous-Montagny,-1.85685282156565,-0.970060730261471,3.11332565784012,1.96417001710109,"5","96"
"5928",Rovray,-5.36249306829884,1.93409962538821,0.752592175484929,2.87306487874706,"5","97"
"5930",Suscévaz,-3.25172598011418,1.21035552851086,0.832243489393969,4.47014196240057,"5","98"
"5929",Suchy,-1.62236149972382,3.37520071811548,1.70548007706263,-2.61650387362627,"6","99"
"5872",Le Chenit,-4.68330587640528,-11.8686930471994,-5.98471506441675,-3.30058464483219,"9","100"
"5871",L'Abbaye,-5.22809669010874,-4.4342512903312,-3.48834097081214,-0.148439878394294,"9","101"
"5873",Le Lieu,-5.21024103408697,-6.42387445602089,-4.16471853000258,-0.176384214729791,"9","102"
"5556",Fiez,-2.66281242172484,0.568758782802038,-2.56098878653194,-0.288775025086136,"2","103"
"5555",Corcelles-près-Concise,-2.39593291395599,2.31847281993342,0.143692824320332,-0.116314015593828,"6","104"
"5557",Fontaines-sur-Grandson,-2.85982915078602,-0.088486524258309,-0.917249984483366,-2.59302748853612,"2","105"
"5552",Bullet,-7.28169218781294,-6.30501530212176,-3.88682470561752,3.30804060041857,"9","106"
"5551",Bonvillars,-3.64116386924553,-0.406742434922382,-1.44793572278156,1.79899317152832,"2","107"
"5554",Concise,-2.03963210342916,-0.44418191139878,-1.41719467663671,-0.262013031553204,"2","108"
"5553",Champagne,-0.462748703841484,1.10145716041414,2.11674195869028,-1.17998877827583,"6","109"
"5571",Tévenon,-2.93684249165955,-0.87456130433207,-2.6755973694277,-0.216234735428509,"2","110"
"5568",Sainte-Croix,-4.13128126811941,-7.92943712073688,-2.88139239717135,0.803840932051379,"9","111"
"5564",Novalles,-3.48314627973937,-0.397446827887487,-0.040829806415785,0.436969512902391,"2","112"
"5563",Mutrux,-5.59556235732807,-0.935085781358773,-0.801505559569629,2.17126240639778,"5","113"
"5566",Provence,-6.30316175656402,-5.48609044434168,-1.44386355363314,0.935153707941934,"9","114"
"5565",Onnens (VD),-2.54983049341971,-0.120839179543276,0.539437244899785,0.331733771558656,"5","115"
"5560",Grandevent,-2.61321785016537,1.79328829269327,-0.957848793244976,1.09217527047202,"6","116"
"5559",Giez,-1.63358998431603,0.484997006604725,-0.06678907870462,1.5868223292089,"5","117"
"5562",Mauborget,-5.6520875354011,-4.44158423474981,-6.56362660303712,6.09341091492684,"9","118"
"5561",Grandson,1.06434534302289,-1.26989039304029,3.0011483422548,0.994078558287954,"7","119"
"5923",Oppens,-1.79305893581803,-1.19178239267419,0.48872575813449,0.024508547994849,"5","120"
"5523",Froideville,-1.46822537476803,2.1631255718735,-0.875601900780313,-2.91522339675342,"6","121"
"5520",Essertines-sur-Yverdon,-2.56565289609214,2.9719358518999,1.09365078067394,-1.1314876646532,"6","122"
"5522",Fey,-2.5733998325677,2.68567061427366,0.797802372582095,-1.7864055939528,"6","123"
"5521",Etagnières,0.026807188911559,2.11206331749281,2.02809160633023,-2.3509378145187,"6","124"
"5516",Cugy (VD),1.50739310729971,0.689716181269371,-0.275503223070363,-0.803867242882554,"1","125"
"5515",Bretigny-sur-Morrens,-0.155237601674747,3.43702499600521,1.7935547822508,-3.20455887721329,"6","126"
"5518",Echallens,1.31376012573653,-0.896184287335502,1.6581888514178,-0.690684078497189,"7","127"
"5512",Bercher,-1.03464470337213,0.651322886142878,0.821776249693895,-1.17075038299443,"6","128"
"5511",Assens,-0.931083725502848,3.03901124075902,1.15200345614721,-2.11776526119396,"6","129"
"5514",Bottens,-2.30324326514374,2.36318045445833,1.47320640953735,-2.89223950555535,"6","130"
"5540",Montilliez,-2.18057709496739,2.83041289980101,0.49323230918469,-2.61099416149277,"6","131"
"5539",Vuarrens,-2.21036621967651,2.73993425753905,2.08102920632016,-1.68506538038006,"6","132"
"5541",Goumoëns,-2.75060805129886,2.83390818899803,0.13513895739489,-0.761105716953746,"6","133"
"5535",Saint-Barthélemy (VD),-2.58874309959678,1.83382343957885,2.87502728634855,-2.87915407494624,"6","134"
"5537",Villars-le-Terroir,-1.39282406715314,3.37179799458232,1.26226840500207,-2.48758594137103,"6","135"
"5531",Penthéréaz,-3.07047048286095,3.10293412086765,1.30973316491911,-1.61810359924519,"6","136"
"5534",Rueyres,-3.80251953111993,2.26019613229405,1.19968715846827,1.19082255226792,"6","137"
"5533",Poliez-Pittet,-2.79212251218646,1.57871336145559,0.250739415381301,-2.93513372467763,"6","138"
"5527",Morrens (VD),-1.13867306306291,2.54806735937484,-0.228386848045207,0.613901178270642,"6","139"
"5530",Pailly,-2.93525639429805,2.19734557710669,1.30971859685069,-1.16368806828713,"6","140"
"5529",Oulens-sous-Echallens,-2.02960004781455,3.68397101478589,0.621403810126835,-2.12305165218752,"6","141"
"5472",Bournens,-1.56310187475175,2.19138240358186,0.47920549598306,-0.853722019981391,"6","142"
"5471",Bettens,-0.692549008996573,4.36009488216992,3.70603585018163,-4.87828122456731,"6","143"
"5473",Boussens,-1.09355780139662,3.88684603989171,2.23589397850176,-2.02612886562597,"6","144"
"5487",Lussery-Villars,-1.86954685273087,2.93168733635369,3.54622152692958,-2.46828669178303,"6","145"
"5489",Mex (VD),1.018444824617,2.25644924986112,-0.333288820065444,-0.763187659329593,"1","146"
"5480",Daillens,-0.942119571735332,3.99002565401057,1.91298263193128,-2.32500179656958,"6","147"
"5503",Vufflens-la-Ville,0.671209279933638,2.64648785404388,0.531610237004396,-0.146198781003438,"1","148"
"5501",Sullens,-1.15642759748882,3.29364304208161,0.386616578824145,-0.315653195300691,"6","149"
"5496",Penthaz,0.187936585636322,1.19053836714448,2.10821580955925,-0.868813447285133,"6","150"
